Date,Open,High,Low,Close,Adj Close,Volume
2016-07-11,587.288513,616.910767,583.682861,614.728088,614.728088,616764155
2016-07-18,615.044800,616.178467,589.429443,602.977112,602.977112,552510029
2016-07-25,602.957031,603.582336,559.216309,559.499329,559.499329,675313841
2016-08-01,559.428589,560.787292,473.686340,534.677490,534.677490,910220999
2016-08-08,534.718994,537.234985,505.849548,511.084961,511.084961,452630638
2016-08-15,511.103760,515.767273,503.027588,514.614014,514.614014,322623265
2016-08-22,514.616638,519.922241,507.886749,512.650269,512.650269,484619413
2016-08-29,512.792297,548.585083,509.516174,545.566467,545.566467,600499280
2016-09-05,545.885620,560.144287,534.828979,539.881653,539.881653,450621786
2016-09-12,540.136169,546.883606,539.485840,546.629028,546.629028,372911451
2016-09-19,546.626282,547.381042,531.666992,534.685425,534.685425,355367616
2016-09-26,534.668518,547.217834,534.641541,543.933777,543.933777,324683333
2016-10-03,544.001465,553.387207,543.524414,551.163574,551.163574,328030640
2016-10-10,551.226135,586.211365,550.667603,585.216125,585.216125,419328089
2016-10-17,585.386719,607.543701,572.496826,603.925537,603.925537,401521933
2016-10-24,604.008301,656.044067,599.480957,639.162231,639.162231,598226946
2016-10-31,639.868896,671.202393,610.731262,641.415283,641.415283,630691134
2016-11-07,640.706787,666.347961,632.938171,648.647339,648.647339,507614648
2016-11-14,648.615906,714.442139,647.550659,690.950867,690.950867,692718151
2016-11-21,691.176758,710.460815,688.975464,690.208374,690.208374,498886993
2016-11-28,690.631714,732.417175,690.436401,732.417175,732.417175,519629167
2016-12-05,731.964783,736.021973,702.732544,730.018066,730.018066,542835932
2016-12-12,730.311035,760.877930,729.152405,756.777771,756.777771,513034587
2016-12-19,756.932800,884.263977,755.275208,857.427246,857.427246,1041250483
2016-12-26,858.118103,953.951538,858.029297,948.707581,948.707581,1107313496
2017-01-02,948.985107,1123.043579,782.327393,865.418335,865.418335,1950770585
2017-01-09,867.360657,871.597290,710.630920,773.311340,773.311340,1059898371
2017-01-16,773.297302,876.273499,771.729248,863.212280,863.212280,828296735
2017-01-23,863.983398,864.226807,831.254761,858.139038,858.139038,646904277
2017-01-30,858.750366,970.132690,857.398376,953.005554,953.005554,936857727
2017-02-06,953.988892,1019.367188,889.747131,941.114258,941.114258,1150535851
2017-02-13,940.835449,1000.000000,919.022583,986.323425,986.323425,719503649
2017-02-20,987.095215,1134.584106,981.892700,1104.245605,1104.245605,1144705377
2017-02-27,1102.899902,1213.104126,1101.581299,1193.257324,1193.257324,1463572271
2017-03-06,1193.586914,1205.395996,1008.377808,1142.758179,1142.758179,1943530003
2017-03-13,1143.132568,1178.318604,891.588318,965.127502,965.127502,3073483107
2017-03-20,965.593018,1037.653687,837.003784,891.401550,891.401550,2300846077
